iter	Passed	Remaining
423	2040	2771
424	2043	2765
425	2048	2759
426	2054	2757
427	2058	2751
428	2062	2744
429	2068	2741
430	2071	2734
431	2075	2729
432	2080	2724
433	2086	2720
434	2089	2713
435	2093	2707
436	2098	2703
437	2102	2698
438	2106	2692
439	2110	2686
440	2116	2682
441	2119	2675
442	2123	2669
443	2126	2663
444	2132	2659
445	2135	2652
446	2138	2645
447	2141	2639
448	2147	2635
449	2151	2629
450	2154	2622
451	2158	2617
452	2164	2613
453	2167	2606
454	2170	2600
455	2174	2594
456	2179	2590
457	2183	2583
458	2186	2577
459	2191	2573
460	2197	2569
461	2201	2563
462	2204	2556
463	2210	2553
464	2214	2547
465	2217	2541
466	2221	2535
467	2227	2531
468	2230	2525
469	2234	2519
470	2238	2514
471	2244	2510
472	2248	2504
473	2251	2498
474	2257	2495
475	2261	2489
476	2265	2483
477	2269	2478
478	2274	2474
479	2278	2468
480	2281	2462
481	2286	2456
482	2290	2451
483	2293	2445
484	2297	2439
485	2301	2433
486	2307	2430
487	2310	2424
488	2314	2418
489	2318	2413
490	2322	2407
491	2325	2401
492	2329	2395
493	2332	2389
494	2338	2385
495	2341	2379
496	2344	2373
497	2348	2367
498	2353	2362
499	2356	2356
500	2360	2351
501	2365	2346
502	2370	2342
503	2373	2336
504	2376	2329
505	2380	2323
506	2385	2319
507	2388	2313
508	2392	2308
509	2397	2303
510	2402	2299
511	2405	2293
512	2409	2287
513	2415	2284
514	2418	2278
515	2421	2271
516	2425	2265
517	2431	2262
518	2434	2256
519	2437	2250
520	2440	2243
521	2446	2239
522	2449	2234
523	2453	2228
524	2457	2223
525	2462	2219
526	2465	2213
527	2469	2207
528	2472	2201
529	2478	2197
530	2481	2191
531	2485	2186
532	2488	2180
533	2494	2177
534	2498	2171
535	2502	2166
536	2508	2162
537	2512	2157
538	2515	2151
539	2519	2146
540	2525	2142
541	2528	2136
542	2531	2130
543	2534	2124
544	2540	2120
545	2543	2114
546	2546	2108
547	2549	2103
548	2554	2098
549	2558	2093
550	2561	2087
551	2565	2081
552	2570	2077
553	2574	2072
554	2577	2066
555	2581	2061
556	2588	2058
557	2592	2053
558	2595	2047
559	2600	2043
560	2604	2038
561	2608	2032
562	2612	2027
563	2618	2024
564	2622	2018
565	2625	2013
566	2628	2007
567	2634	2003
568	2638	1998
569	2641	1992
570	2644	1986
571	2650	1983
572	2653	1977
573	2656	1971
574	2659	1966
575	2666	1962
576	2669	1957
577	2672	1951
578	2675	1945
579	2682	1942
580	2685	1936
581	2688	1931
582	2691	1925
583	2697	1921
584	2700	1915
585	2703	1910
586	2706	1904
587	2712	1900
588	2716	1895
589	2719	1889
590	2723	1884
591	2728	1880
592	2731	1874
593	2735	1869
594	2738	1863
595	2743	1860
596	2747	1854
597	2750	1849
598	2755	1844
599	2760	1840
600	2764	1835
601	2768	1830
602	2772	1825
603	2777	1821
604	2781	1815
605	2784	1810
606	2790	1806
607	2793	1801
608	2797	1795
609	2800	1790
610	2806	1787
611	2810	1781
612	2814	1776
613	2817	1771
614	2823	1767
615	2826	1762
616	2830	1756
617	2834	1752
618	2839	1747
619	2843	1742
620	2846	1737
621	2851	1732
622	2857	1729
623	2861	1724
624	2866	1719
625	2871	1715
626	2875	1710
627	2879	1705
628	2885	1701
629	2889	1696
630	2892	1691
631	2897	1686
632	2902	1682
633	2905	1677
634	2909	1672
635	2914	1668
636	2919	1663
637	2923	1658
638	2928	1654
639	2934	1650
640	2937	1645
641	2941	1640
642	2947	1636
643	2951	1631
644	2955	1626
645	2959	1621
646	2965	1617
647	2968	1612
648	2972	1607
649	2977	1603
650	2981	1598
651	2985	1593
652	2989	1588
653	2996	1585
654	3001	1580
655	3004	1575
656	3009	1571
657	3014	1566
658	3018	1561
659	3022	1556
660	3028	1553
661	3032	1548
662	3035	1543
663	3040	1538
664	3046	1534
665	3050	1529
666	3055	1525
